alpha,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
0.0,p01_portrait,42,10.586,0.352774,0.703791,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p01_portrait_seed42.png
0.0,p01_portrait,123,9.147,0.297396,0.780167,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p01_portrait_seed123.png
0.0,p01_portrait,456,8.611,0.350073,0.71714,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p01_portrait_seed456.png
0.0,p01_portrait,789,7.912,0.378822,0.776325,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p01_portrait_seed789.png
0.0,p01_portrait,1337,7.698,0.328927,0.589654,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p01_portrait_seed1337.png
0.0,p02_landscape,42,7.845,0.333111,0.580228,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p02_landscape_seed42.png
0.0,p02_landscape,123,7.576,0.332101,0.785179,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p02_landscape_seed123.png
0.0,p02_landscape,456,7.305,0.330759,0.69682,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p02_landscape_seed456.png
0.0,p02_landscape,789,7.188,0.293201,0.77975,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p02_landscape_seed789.png
0.0,p02_landscape,1337,7.233,0.279819,0.678292,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p02_landscape_seed1337.png
0.0,p03_abstract,42,6.763,0.334134,0.632494,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p03_abstract_seed42.png
0.0,p03_abstract,123,6.925,0.294711,0.787189,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p03_abstract_seed123.png
0.0,p03_abstract,456,6.807,0.309152,0.609861,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p03_abstract_seed456.png
0.0,p03_abstract,789,6.878,0.311883,0.423543,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p03_abstract_seed789.png
0.0,p03_abstract,1337,6.881,0.326149,0.5822,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p03_abstract_seed1337.png
0.0,p04_text,42,6.758,0.331057,0.640582,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p04_text_seed42.png
0.0,p04_text,123,6.95,0.309938,0.640234,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p04_text_seed123.png
0.0,p04_text,456,6.836,0.319599,0.705369,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p04_text_seed456.png
0.0,p04_text,789,6.845,0.276797,0.613384,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p04_text_seed789.png
0.0,p04_text,1337,6.853,0.283456,0.669866,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p04_text_seed1337.png
0.0,p05_texture,42,6.766,0.31302,0.509479,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p05_texture_seed42.png
0.0,p05_texture,123,7.24,0.32784,0.547606,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p05_texture_seed123.png
0.0,p05_texture,456,6.997,0.280027,0.767271,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p05_texture_seed456.png
0.0,p05_texture,789,6.987,0.275674,0.645073,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p05_texture_seed789.png
0.0,p05_texture,1337,4.549,0.293249,0.480071,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p05_texture_seed1337.png
0.0,p06_arch,42,6.572,0.324071,0.695256,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p06_arch_seed42.png
0.0,p06_arch,123,7.114,0.328797,0.768727,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p06_arch_seed123.png
0.0,p06_arch,456,6.844,0.315228,0.79323,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p06_arch_seed456.png
0.0,p06_arch,789,6.803,0.28641,0.550657,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p06_arch_seed789.png
0.0,p06_arch,1337,6.842,0.322896,0.733037,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p06_arch_seed1337.png
0.0,p07_hands,42,6.854,0.320244,0.726692,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p07_hands_seed42.png
0.0,p07_hands,123,6.447,0.285477,0.872319,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p07_hands_seed123.png
0.0,p07_hands,456,4.569,0.298054,0.678698,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p07_hands_seed456.png
0.0,p07_hands,789,4.588,0.300476,0.731888,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p07_hands_seed789.png
0.0,p07_hands,1337,4.58,0.314118,0.707491,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p07_hands_seed1337.png
0.0,p08_crowd,42,6.95,0.364433,0.618495,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p08_crowd_seed42.png
0.0,p08_crowd,123,7.016,0.330309,0.666145,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p08_crowd_seed123.png
0.0,p08_crowd,456,7.379,0.351036,0.671015,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p08_crowd_seed456.png
0.0,p08_crowd,789,6.941,0.343701,0.742389,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p08_crowd_seed789.png
0.0,p08_crowd,1337,6.839,0.306997,0.65981,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p08_crowd_seed1337.png
0.25,p01_portrait,42,6.892,0.362075,0.705745,0.287443,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p01_portrait_seed42.png
0.25,p01_portrait,123,7.194,0.342404,0.604542,0.764286,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p01_portrait_seed123.png
0.25,p01_portrait,456,6.865,0.347239,0.675855,0.330267,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p01_portrait_seed456.png
0.25,p01_portrait,789,6.971,0.355589,0.733736,0.223408,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p01_portrait_seed789.png
0.25,p01_portrait,1337,6.826,0.343209,0.536402,0.238935,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p01_portrait_seed1337.png
0.25,p02_landscape,42,4.618,0.36648,0.470311,0.320109,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p02_landscape_seed42.png
0.25,p02_landscape,123,4.609,0.334905,0.753989,0.359062,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p02_landscape_seed123.png
0.25,p02_landscape,456,4.421,0.36113,0.500662,0.551397,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p02_landscape_seed456.png
0.25,p02_landscape,789,5.647,0.366046,0.690263,0.523672,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p02_landscape_seed789.png
0.25,p02_landscape,1337,6.874,0.323324,0.610194,0.472973,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p02_landscape_seed1337.png
0.25,p03_abstract,42,4.789,0.344725,0.598773,0.240148,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p03_abstract_seed42.png
0.25,p03_abstract,123,6.75,0.295353,0.780796,0.482522,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p03_abstract_seed123.png
0.25,p03_abstract,456,4.99,0.294057,0.521519,0.614499,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p03_abstract_seed456.png
0.25,p03_abstract,789,6.595,0.317191,0.285913,0.272599,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p03_abstract_seed789.png
0.25,p03_abstract,1337,4.846,0.302085,0.597028,0.356663,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p03_abstract_seed1337.png
0.25,p04_text,42,4.604,0.358018,0.619895,0.424954,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p04_text_seed42.png
0.25,p04_text,123,5.983,0.282543,0.507155,0.626977,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p04_text_seed123.png
0.25,p04_text,456,6.983,0.329064,0.692119,0.334719,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p04_text_seed456.png
0.25,p04_text,789,6.85,0.368201,0.52903,0.3217,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p04_text_seed789.png
0.25,p04_text,1337,6.239,0.282435,0.608932,0.357089,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p04_text_seed1337.png
0.25,p05_texture,42,6.966,0.308346,0.48259,0.298763,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p05_texture_seed42.png
0.25,p05_texture,123,6.921,0.304104,0.49749,0.44717,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p05_texture_seed123.png
0.25,p05_texture,456,6.963,0.312717,0.686461,0.579107,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p05_texture_seed456.png
0.25,p05_texture,789,6.911,0.240853,0.509539,0.548836,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p05_texture_seed789.png
0.25,p05_texture,1337,4.611,0.302359,0.341429,0.53671,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p05_texture_seed1337.png
0.25,p06_arch,42,4.449,0.336571,0.623277,0.442703,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p06_arch_seed42.png
0.25,p06_arch,123,4.563,0.323378,0.628738,0.589924,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p06_arch_seed123.png
0.25,p06_arch,456,6.834,0.326699,0.636817,0.514821,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p06_arch_seed456.png
0.25,p06_arch,789,6.961,0.282918,0.456176,0.295852,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p06_arch_seed789.png
0.25,p06_arch,1337,6.632,0.314833,0.703478,0.398151,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p06_arch_seed1337.png
0.25,p07_hands,42,5.019,0.298299,0.598256,0.532802,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p07_hands_seed42.png
0.25,p07_hands,123,4.476,0.32615,0.822404,0.422172,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p07_hands_seed123.png
0.25,p07_hands,456,5.12,0.355044,0.572952,0.641892,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p07_hands_seed456.png
0.25,p07_hands,789,7.002,0.301019,0.576762,0.654741,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p07_hands_seed789.png
0.25,p07_hands,1337,6.52,0.273819,0.638363,0.564052,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p07_hands_seed1337.png
0.25,p08_crowd,42,4.6,0.356821,0.575627,0.4065,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p08_crowd_seed42.png
0.25,p08_crowd,123,4.54,0.357993,0.600597,0.413822,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p08_crowd_seed123.png
0.25,p08_crowd,456,6.161,0.363043,0.624308,0.41919,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p08_crowd_seed456.png
0.25,p08_crowd,789,5.102,0.357784,0.675571,0.493696,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p08_crowd_seed789.png
0.25,p08_crowd,1337,4.494,0.362961,0.628841,0.534638,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p08_crowd_seed1337.png
0.5,p01_portrait,42,6.879,0.353037,0.653576,0.487335,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p01_portrait_seed42.png
0.5,p01_portrait,123,5.932,0.353964,0.579133,0.356555,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p01_portrait_seed123.png
0.5,p01_portrait,456,6.809,0.33647,0.543244,0.546421,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p01_portrait_seed456.png
0.5,p01_portrait,789,6.741,0.364917,0.697896,0.245219,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p01_portrait_seed789.png
0.5,p01_portrait,1337,6.758,0.349994,0.401877,0.382674,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p01_portrait_seed1337.png
0.5,p02_landscape,42,7.074,0.370891,0.413376,0.358843,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p02_landscape_seed42.png
0.5,p02_landscape,123,6.785,0.344329,0.688703,0.446041,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p02_landscape_seed123.png
0.5,p02_landscape,456,6.774,0.344718,0.398352,0.391085,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p02_landscape_seed456.png
0.5,p02_landscape,789,6.855,0.365786,0.594164,0.362587,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p02_landscape_seed789.png
0.5,p02_landscape,1337,7.323,0.326737,0.531616,0.431836,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p02_landscape_seed1337.png
0.5,p03_abstract,42,6.98,0.339939,0.580925,0.272738,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p03_abstract_seed42.png
0.5,p03_abstract,123,6.754,0.297276,0.694912,0.591727,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p03_abstract_seed123.png
0.5,p03_abstract,456,7.219,0.301236,0.554999,0.260737,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p03_abstract_seed456.png
0.5,p03_abstract,789,7.017,0.331614,0.2955,0.271574,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p03_abstract_seed789.png
0.5,p03_abstract,1337,8.127,0.317484,0.605748,0.297164,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p03_abstract_seed1337.png
0.5,p04_text,42,8.604,0.364401,0.601991,0.320857,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p04_text_seed42.png
0.5,p04_text,123,8.531,0.285824,0.443138,0.423272,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p04_text_seed123.png
0.5,p04_text,456,8.519,0.336805,0.679397,0.457846,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p04_text_seed456.png
0.5,p04_text,789,8.372,0.366538,0.490816,0.371116,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p04_text_seed789.png
0.5,p04_text,1337,8.466,0.266609,0.572446,0.276611,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p04_text_seed1337.png
0.5,p05_texture,42,8.133,0.313631,0.367397,0.292494,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p05_texture_seed42.png
0.5,p05_texture,123,6.898,0.331419,0.427626,0.431347,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p05_texture_seed123.png
0.5,p05_texture,456,6.19,0.358441,0.609701,0.564443,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p05_texture_seed456.png
0.5,p05_texture,789,6.279,0.326804,0.447211,0.386715,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p05_texture_seed789.png
0.5,p05_texture,1337,6.35,0.344301,0.271998,0.209296,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p05_texture_seed1337.png
0.5,p06_arch,42,6.173,0.318913,0.596215,0.6286,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p06_arch_seed42.png
0.5,p06_arch,123,6.183,0.322012,0.443401,0.511939,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p06_arch_seed123.png
0.5,p06_arch,456,6.783,0.322304,0.627036,0.353352,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p06_arch_seed456.png
0.5,p06_arch,789,7.15,0.280281,0.27596,0.414612,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p06_arch_seed789.png
0.5,p06_arch,1337,6.953,0.336481,0.65312,0.506914,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p06_arch_seed1337.png
0.5,p07_hands,42,5.136,0.333772,0.555852,0.540301,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p07_hands_seed42.png
0.5,p07_hands,123,4.358,0.281863,0.613427,0.708323,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p07_hands_seed123.png
0.5,p07_hands,456,6.151,0.341979,0.520749,0.359691,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p07_hands_seed456.png
0.5,p07_hands,789,6.489,0.299172,0.620082,0.542813,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p07_hands_seed789.png
0.5,p07_hands,1337,6.312,0.337817,0.571844,0.436872,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p07_hands_seed1337.png
0.5,p08_crowd,42,6.416,0.357811,0.53939,0.328721,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p08_crowd_seed42.png
0.5,p08_crowd,123,4.493,0.346969,0.528153,0.43358,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p08_crowd_seed123.png
0.5,p08_crowd,456,4.225,0.358802,0.493844,0.518603,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p08_crowd_seed456.png
0.5,p08_crowd,789,4.313,0.376613,0.500785,0.570699,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p08_crowd_seed789.png
0.5,p08_crowd,1337,4.113,0.371106,0.588982,0.536965,reports/experiments/exp6_lora_alpha/images/alpha_0.5/p08_crowd_seed1337.png
0.75,p01_portrait,42,4.293,0.347991,0.487589,0.606709,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p01_portrait_seed42.png
0.75,p01_portrait,123,4.963,0.353332,0.557962,0.227415,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p01_portrait_seed123.png
0.75,p01_portrait,456,6.365,0.332866,0.38757,0.433333,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p01_portrait_seed456.png
0.75,p01_portrait,789,4.952,0.354414,0.52849,0.650981,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p01_portrait_seed789.png
0.75,p01_portrait,1337,5.122,0.358878,0.29887,0.283287,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p01_portrait_seed1337.png
0.75,p02_landscape,42,5.638,0.346018,0.28435,0.373513,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p02_landscape_seed42.png
0.75,p02_landscape,123,4.308,0.342139,0.659941,0.296558,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p02_landscape_seed123.png
0.75,p02_landscape,456,4.427,0.349798,0.244227,0.228701,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p02_landscape_seed456.png
0.75,p02_landscape,789,6.417,0.357545,0.375439,0.444876,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p02_landscape_seed789.png
0.75,p02_landscape,1337,6.62,0.375873,0.300265,0.470515,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p02_landscape_seed1337.png
0.75,p03_abstract,42,6.014,0.3309,0.461921,0.418898,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p03_abstract_seed42.png
0.75,p03_abstract,123,6.017,0.323799,0.641937,0.664139,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p03_abstract_seed123.png
0.75,p03_abstract,456,6.34,0.296691,0.299526,0.542021,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p03_abstract_seed456.png
0.75,p03_abstract,789,6.443,0.337356,0.198327,0.278211,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p03_abstract_seed789.png
0.75,p03_abstract,1337,6.287,0.321293,0.232336,0.563152,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p03_abstract_seed1337.png
0.75,p04_text,42,6.191,0.349472,0.473212,0.56101,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p04_text_seed42.png
0.75,p04_text,123,6.228,0.251479,0.375944,0.335506,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p04_text_seed123.png
0.75,p04_text,456,6.287,0.326001,0.603632,0.536951,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p04_text_seed456.png
0.75,p04_text,789,6.477,0.344117,0.432702,0.328829,reports/experiments/exp6_lora_alpha/images/alpha_0.75/p04_text_seed789.png
